,text,target
10,- К чему привязан шекель? - Таки к гешефту.,деньги
11,Досада после внезапного всплеска радости - утончённое издевательство! Поэтому нацарапал на старой банковской карте PIN-код и оставил у банкомата.,деньги
12,"Заседание правительства. Путин:- Что за безобразие - рубль опять падает, у министра финансов есть предложения по исправлению ситуации?Силуанов:- Есть мнение, что рубль падает оттого, что из металла деланный! Надо делать из резины - тогда будет падать - и подскакивать, падать - и подскакивать!",деньги
13,У денег есть одна раздражающая особенность: даже после неоднократного пересчитывания их сумма не увеличивается.,деньги
14,"Зачем нужны анекдоты, когда есть действующее Положение о размерах и порядке возмещения командировочных расходов работников Санкт-Петербургского государственного университета (утв. Приказом от 30.06.2010 № 1575/1):«Из средств, выделенных Санкт-Петербургскому государственному университету из федерального бюджета на командировки,..., возмещение расходов, связанных со служебной командировкой работника СПбГУ на территории Российской Федерации, может осуществляться в размерах, не превышающих следующие:1) расходы по найму жилого помещения (...) – в размере фактических расходов, подтвержденных соответствующими документами, но не более 550 рублей в сутки. При отсутствии документов, подтверждающих эти расходы, - 12 рублей в сутки;» 12 рублей! После этого даже 550 уже не кажется смешным! Вперёд, наука!",деньги
15,"О честности ""элит"".Когда мне кто-то говорит о том, что этот человек богат и ему нет смысла обманывать, я всегда вспоминаю случай с связанный с катастрофой корабля «Эмпресс оф Айрленд».Родственники пассажиров, погибших при крушении лайнера, стали предъявлять страховщикам иски о возмещении стоимости ценностей и денег, которые погибшие якобы хранили в сейфе судового казначея. Претензии эти подкреплялись юридическими документами, а также данными под присягой свидетельскими показаниями и касались столь неправдоподобно высокой суммы, что страховщики решили поднять сейф со дна реки.В 1915 г. были наняты водолазы. Сейф необходимо было поднять в целости и сохранности и, самое главное, с абсолютно неповрежденным замком. Операция удалась и скоро сейф был доставлен в Монреаль.Церемония вскрытия сейфа происходила в присутствии множества юристов, нанятых родственниками погибших. В нем были обнаружены ценности, стоимость которых не превышала 5 % общей суммы, значившейся в исковых документах.",деньги
16,"ШАПКАРассказ моего приятеля Марата, который уже лет тридцать, как перебрался из своей татарской деревни в Москву. Далее от его лица:…Года полтора назад, приехал я на пару деньков к бате в деревню.В первый же вечер выпендрился и достал свой самый, самый, самый любимый нож.(А, надо сказать, что Марат заядлый ножеман, у него в коллекции их штук восемьдесят, не меньше. Ну, любит человек, это дело)…Вначале я долго о нем мечтал, потом, решился и начал копить деньги. Долго копил, накопил, дождался скидок и наконец заказал приятелю, который летел в Штаты. Для кого-то может ничего особенного, нож - как нож, ну, красивый, ну, сталь хорошая, клацает приятно, не более того, а мне душу греет. Признаюсь, что первые дни я даже под подушку его клал, чтобы ночью в темноте достать и «клацнуть» пару раз. Тебе не понять. Да, я маньяк, осознаю и этим не горжусь.Ну, так вот, нужно было перерезать какую-то бечевочку. Отец засуетился, стал искать ножницы и тут я из широких штанин извлек ЕГО.Батя протянул руку, попросил посмотреть, надел очки, поскреб пальцем лезвие, сказал «Ух ты, какой красавец» и добавил – «Маратик, сыночек, а может подаришь бате ножичек. А? Я даже никогда не видел таких, а у себя в Москве ты ведь еще купишь»Вот  тут я крепко задумался – это был серьезный выбор, просто не выбор, а удар под дых. С одной стороны – отцу уже семьдесят восемь, мать схоронил, живет тут один, ему скучно.Ну, какие у него радости в жизни, да и сколько ему осталось…? Если откажу, никогда себе потом не прощу.С другой стороны, сказать цену ножа я тоже не мог, а то он с ума бы сошел, если бы узнал, что его сын купил себе складной ножичек за сто десять тысяч рубликов. Я ведь целый год на него копил, во многом себе отказывал.Но, делать было нечего и я, почти не дрожащей рукой, протянул бате нож и соврал, что мне совсем не жалко, еще куплю.С тех пор прошло года полтора и вот, недавно, я наконец выбрался проведать старика, а заодно и со «своим» ножичком повидаться.Приехал поздно вечером, не успел с дороги даже руки помыть, обнял батю и спрашиваю - «Как там твой американский ножичек поживает?»Отец мне хитро подмигнул и молча усадил за мамин трельяж, велел зажмуриться и нахлабучил что-то на голову. Открываю глаза - вижу себя в зеркале в какой-то дурацкой пыжиковой шапке.Вот, говорит, носи, Маратик, на здоровье:- Нравится? И с размером, вроде, угадал. Выделка отличная, на всю жизнь хватит.- Нравится (соврал я)- Ну, вот и хорошо, будешь там у себя в Москве самый модный и голова не замёрзнет. А ведь как удачно все получилось. Представляешь, месяц назад сидел я дома, твоим ножиком клинышек для топора вытачивал, тут заглянул один мужик  со старой работы. Слово за слово, увидел нож и загорелся прям  - продай, да продай, я поначалу отказывался, все же твой подарок, но этот дурачок и говорит – «Продай, я тебе за него целых четыре тысячи дам» Представляешь, за какой-то ножичек, такие деньги? Ну, я зевать не стал и конечно продал. Потом с пенсии чуть-чуть добавил и на базаре выторговал тебе за семь вот эту шапку. Носи на здоровье и отца вспоминай.Чайник на кухне свистом позвал к себе батю, а я сидел в нафталиновой шапке и наблюдал в зеркало, как на перегонки, по моим щекам катятся слёзы. А ведь и не скажешь ничего. Зачем добивать старика?Вернулся из кухни отец и положил передо мной продолговатый бархатный мешочек.Я открыл… в нем лежал мой нож.Батя заржал и сказал:- Что, Маратка, обосрался? Пошутил я, пошутил. Я ведь сразу понял сколько он стоит, не дурак же я совсем. Вот, мешочек сшил, чтобы рукоятку не поцарапать. Забирай обратно, я уже наигрался. А шапку носи, шапка хорошая, теплая.Обожаю батин незамысловатый татарский юмор…",деньги
17,Объективных причин для ослабления рубля нет!Он просто с голоду дохнет!,деньги
18,"Деньги не приносят счастья, но хотя бы позволяют с комфортом предаваться печали. ",деньги
19,"Биткоин и рубль, не пара, не пара, не пара...",деньги
20,"На криптовалюте можно заработать, заработать себе нервные расстройства...",деньги
21,"Богат не тот, кто постоянно думает о своих больших деньгах, а тот, который о них никогда не вспоминает.",деньги
22,Деньги только отдавать не люблю. А в остальном у меня с деньгами всё ровно.,деньги
23,Человек со знаниями без денег — это гребец с лодкой без вёсел; человек с деньгами без знаний — это гребец с вёслами без лодки.,деньги
24,"Деньги не пахнут, если уже жареным запахло.",деньги
25,"Можно продаться за деньги, а можно купиться на обещания, но самое удивительное то, что в итоге результат может оказаться одним и тем же",деньги
26,"После похода в магазин пришёл к выводу, что рост инфляции в моём понимании и понимании нашего правительства - абсолютно разные вещи.",деньги
27,"Из семейной жизни. - Пора прекращать эти глупые бессмысленные расходы, - заявил муж жене. - Дорогой мой, я ведь не трачу больше, чем ты зарабатываешь. Я просто трачу немного быстрее.",деньги
28,"Полицейскому удалось раскрыть базу фальшивомонетчиков, и он позвонил своему шефу - полицейскому комиссару: - Изъято 100 тысяч только что отпечатанных банкнот, сэр. Сейчас принесу.  - Не нужно. Очень опасно расхаживать по улице с такой суммой в кармане. А деньги хорошо сделаны? - Совсем как настоящие, сэр. Все степени защиты, водяные знаки - всё на месте. - Тогда отправьте мне их почтовым переводом!",деньги
29,"- Ты как стал олигархом? - Начинал в Чикаго с одного доллара, превратил его в два, потом в четыре, затем построил новые предприятия и так постепенно дошёл до миллиардов. - А я начинал с бутылки водки. - Удачно продал её, купил две и так по нарастающей? - Нет, ну что ты... Вовремя поставил её президенту страны, он подписал бумаги, и я сразу стал олигархом. А поскольку он любил выпить, олигархов тогда появилось много.",деньги
30,"Молодой судья разбирает первое дело. Решил посоветоваться с опытным коллегой по телефону: - У меня тут самогонщик. Сколько, ты думаешь, я должен ему дать? - Пятьдесят рублей за литр, и ни копейки больше!",деньги
31,Лучшее время для инвестиций - когда у вас есть деньги. © Джон Темплтон,деньги
32,"Звоню в МРЭО, нужно получить права международного образца. Инспектор вежливо объясняет, какие нужны документы. ""Да!"" - Добавляет он: ""Еще нужна квитанция об оплате.""""А у Вас можно оплатить?"" - Робко интересуюсь я.""Нет, что Вы, мы же ГИБДД, мы денег не берем!""",деньги
33,"Если бы каждый раз, когда я осознаю, какой дурой я была, мне давали бы 100 рублей, у меня был бы постоянный источник пассивного дохода.",деньги
34,"Что делают люди в малых городах России? Работают не покладая рук.Чем занимаются люди в крупных городах? Продают то, что производится в малых городах.А что делают люди в крупнейших мегаполисах? Продают и покупают малые города.",деньги
35,"Преамбула.Смотрел я на днях новости по первому каналу - заседание, Владимир Владимирович спрашивает одного из чиновников: мол, что за задержки в денежной помощи Якутии, ведь уже давно запросили, а вы всё тянете. На что чиновник ему отвечает: да, мы в курсе запроса, но решили, что они мало денег запросили и поэтому сказали им, чтобы они составили новое прошение но уже на большую сумму. Вот когда они второй запрос сделают, тогда и выполним их просьбу. (за дословность не отвечаю но смысл,думаю,ясен)И тут мне вспомнилась следующая ситуация: в городе Л. строился новый завод по производству МДФ, (я там сам на стройке работал электронщиком) и там, кроме всего прочего, нужна была и кабельная продукция. Так вот, главный энергетик потребовал от электромеханика список той самой кабельной продукции для цеха. Ок, сказано-сделано. Он ему предоставляет этот список с ценами по каждой позиции ну и итоговую сумму естественно. Энергетик посмотрел и говорит, что-то маловато тут у тебя, добавь-ка ещё чего нибудь. Ну да ладно, электромеханик безо всякой задней мысли ушёл дополнять список. Приносит снова. Энергетик посмотрел и говорит - ну вот, другое дело и оставляет список у себя.Через некоторое время спустя.Электромеханик рассказывает, что у энергетика появилась новая машина, а вот кабельной продукции, увы,нет. Конечно потом, с горем пополам достроили этот завод. И этот случай там не единичный был и при этом только по электротехнической части, остальные дела я не знал, т.к. той сферы деятельности я не затрагивал.Так что (оказывается) не важно - небольшое предприятие это или государство. Схемы одинаковые.",деньги
36,"Не обворовали бы дом, то никогда бы мы не узнали, насколько милы и непосредственны в общении полицейские из ближайшего участка. А, знали бы мы насколько красноречив банковский служащий, отменивший украденные вместе с наличностью чековые книжки?   Общими усилиями эти миляги попытались развеять горечь утраты немалой суммы наличных, волею случая хранившихся дома в прикроватной тумбочке (продали машину). Если вкратце то дело было так.. за домом и распорядком в нем вероятно следили, дождавшись удобный случай, случаем этим воспользовались. У домушников на все про все было с полтора часа, не сумев взломать входную дверь, они залезли в дом через незапертую дверь балкона второго этажа,  найдя деньги и чеки, они не стали задерживаться спускаясь на первый этаж и ушли, как пришли, через балкон. К десяти вечера, вернувшись домой мы обнаружили что наша беспечность с деньгами обрела логическое завершение... Вызов полиции был скорее данью традиции, нежели расчетом на возвращение денег. Часика через два приехали два офицера полиции и развеяли все наши сложившиеся стереотипы о работе полицейских... Решительные,  уверенные в себе детективы излучали позитив и энергию, казалось что они  вмиг отыщут преступников и похищенное. Жаль только, что сдулись они быстро... Расспросив об обстоятельствах происшествия, они заверили нас в том, что все будет хорошо, даже если и не сейчас, то как-нибудь потом - обязательно. После чего прошли в дом, и вот тут все пошло наперекосяк... Всему виной оказался купленный накануне семидесятипятидюймовый телевизор,  транслировавший передачу в 4K. Казалось бы кого этим сейчас удивишь? - Никого, за исключением людей собирающихся купить нечто подобное, а сыщики наши, как оказалось, как раз собирались... Расследование  отошло на второй план, не менее сорока минут было уделено обсуждению плюсов и минусов современных тв. Признаться, я и сам несколько увлекся спором и если бы не супруга, напомнившая об абсурдности ситуации, то мы возможно спорили много дольше. Следствие возобновилось, десять минут занял осмотр спален второго этажа, ещё десять потратили на составление протокола. На этом работа детективов закончилась, нам сказали дожидаться приезда эксперта - криминалиста, который найдет отпечатки пальцев. На прощание, уже на правах добрых знакомых, они заверили нас что счастье не в деньгах, а семейном уюте и домашнем кинотеатре, с тем и  откланялись...  Вскоре действительно приехал молодой парень - криминалист. Полчаса он честно искал отпечатки пальцев, но к сожалению не нашел, нашел он отпечаток ботинка. Мы тотчас воспряли духом, с надеждой рассматривали нечёткий отпечаток, хвалили талантливого следопыта, воображение рисовало картины взявшей след овчарки, которая уверенно вела опергруппу захвата в логово преступников, ну как-то так в общем... Немного смущенный следопыт развеял наши мечты, сказав, что расследованию отпечаток вряд ли поможет, да и вообще особо нам надеяться не на что... Кстати, честный малый телевизором вообще не заинтересовался, его больше заинтересовал велотренажер в спальне... До трёх часов ночи мы пили с криминалистом чай, обсуждали его веганство, увлечение спортом и вообще здоровым образом жизни. По его словам выходило, что расстраиваться по поводу потери денег не стоит, мол деньги - пыль и суета, здоровье и спорт - главные приоритеты! На прощанье он дал три дельных совета, во-первых, отказаться от мяса, во-вторых заняться бегом трусцой, в-третьих, съездить в банк - заявить о краже чеков. Утром состоялась беседа с банковским работником, это был здоровенный лысый мужик,  больше похожий на братка с девяностых, нежели на служащего банка. Банкир оказался эстраординарной личностью, если полиция, так.. слегка отжигала, то он жжег прямо напалмом... Выслушав нас, он встал со стула, пожал нам руки и сказал что рано или поздно всем нам приходится сталкиваться с различного рода неприятностями, но все мол неприятности к лучшему, ибо неисповедимы пути Господни. -"" О, бездна богатства и премудрости и ведения Божия! Как непостижимы судьбы Его и неисследимы пути Его!"" (Рим.11:33)- процитировал он по памяти. Оказалось это было началом короткой двадцатиминутной проповеди. По окончанию, он как дважды два четыре доказал нам, что потеря денег это величайшее для нас благо, ибо: - Если пропали, украли или утеряны деньги, мудрые евреи говорят: «Спасибо, Господи, что взял деньгами»... Из банка мы вышли просветленными и приободренными, ведь все наши новые друзья утверждали, что все у нас хорошо, а теперь мы ещё точно знали, что если и не везет, то волноваться не стоит, это когда-нибудь закончится, мы же не бессмертные...",деньги
37,"- Фима, ты, кажется, забыл, что под Новый год занял у меня тысячу гривен. - Я забыл? Да что, Яша! Я тебя умоляю! Это таки моё самое яркое новогоднее воспоминание!",деньги
38,"- Рабинович, говорят, что ты скоро женишься? - Ой, таки не знаю! Моя невеста не хочет выходить за меня замуж, пока я не верну кредиторам свои долги, а я не смогу их вернуть, если не женюсь на ней.",деньги
39,"Новая история.Рассказал собутыльник на рыбалке.""Страшная месть"".Работает он уже много лет в одной шарашке, которые раньше гордо называли ООО ""Вектор"" или ООО ""Аква-Лабиан"". Со временем дела вдруг пошли в гору, руководство обросло нужными связями в администрации и полезными контактами в бизнес-среде и решило не резать раз в год курицу, которая стала нести золотые яйца. Фирмочка росла, коллектив наслаждался зарплатами, которые росли вслед за репутацией фирмы, пока зимой не случилось страшное - главный бенефициар привёл нового человека, назовём его ""Витальевичем"", и назначил его гендиром. Новая метла понемногу стала мести по-новому, хотя основных направлений деятельности шарашки это не касалось: дела идут, контора пишет. 7 марта был озвучен приказ, что учреждается новая должность менеджера по работе с личным составом (типа того), на которую была принята жена Витальича Марго. В коллективе шутили, что приказ о трудоустройстве был подарком к 8 марта.И тут всё заверте... Как пишут в этих ваших интернетах.В хорошо отлаженный, работающий без сбоев механизм по зарабатыванию денег добавили новую шестерёнку, которая стала следить за дресс-кодом людей, которые в течение рабочего дня видят только свой компьютер и телефон, стала наведываться к урне во дворе, где собирались курильщики и поглядывать на часы, прислушиваться к тому, как разговаривают по телефону девочки на стойке приёма заказов etc.Поначалу это лишь добавило раздражения, потом ветераны фирмы, которые помнят ещё её первые дни в лихие 90-е, пытались достучаться в душу бенефициара, ибо были вхожи за свои заслуги в любые двери, и объяснить о нежелательности подобных действий, а потом случилось страшное - главбух сказала (и гендир на планёрке подтвердил), что премии за второй квартал не будет, так как работали плохо.Говна взбурлили с невиданной силой, но внешне, для руководства, ничего не изменилось. Народ шушукался. глядя в мониторы: Вот она, прибыль! Вот они, расходы! Всё, как в прежнем году и даже чуть лучше на 7%! Прогулов - ноль! Больничных (если не считать секретаршу с её сыном в детском саду) - ноль! Жалоб от клиентов - ноль!Вопрос один - деньги где?Марго ходила по коридору с важным видом и многозначительно намекала всем и каждому, что лишение премии - это последствие пренебрежения её требованиям о трудовой дисциплине.Главбух на вопрос, всех ли лишили премии, многозначительно посмотрела вслед проходящей HR и резко засобиралась в налоговую.Планы мести росли в геометрической прогрессии, начиная с безобидного ""порезать шины генеральному"" и заканчивая фантастическим ""наслать порчу на Марго у знакомой бабушки-колдуньи"". В этот момент от монитора оторвал свой взгляд эникейщик, почесал щетину и сказал, что он видел телефон Марго, когда она лазила в Инстаграмчик и у видел на рабочем столе две иконки.Через полчаса у самых проверенных временем и водкой работников на телефонах были установлены GetContact и NumBuster и к вечеру пятницы Александр Витальевич в их телефонах был переименован в:""Саша клиент""""Саша жадный""""Александр Садомазо""""Любимый""""Папа Антошки""""Саша Сауна на ночь""""Нужна блондинка"" и т.д.Пришедшие в понедельник на работу увидели генерального, хотя обычно он приходил за 5 минут до начала рабочего времени, а не за час. Был тот помят, небрит и невесел. По словам охраны, тот уже две ночи ночевал в своём кабинете.",деньги
40,"- Шериф, этот парень стоял на Бродвее с протянутой рукой. - Пятьдесят долларов штрафа. - Но у него только пять. - Выпусти его на улицу, пусть доберёт.",деньги
41,За любым троном скрыто еще не тронутое и не раскрытое преступление.,деньги
